City,Reviewer Name,Review Title,Positive Review,Negative Review
Sharm-ElSheikh,Ahmet,Comfortable,"We are so happy being here,everyrything are very nice and the room iş very large and comfortable,the balkony as well.
The breakfast and dinner are adequate.
The best best bonus are that all drinks free all the time 
the alcohol as well.
The all saff are very friendly and 
Probably we will be here again at the end of the begining
of the April next year for our religon holiday.","Only one thing I have to say that ,the shower pressure iş
weak,but it does not for us."
Sharm-ElSheikh,Hany,Good for price,"Everything was good, stuff, food, beach","The facilities are old and need to be renewed, other than that, all were good"
Sharm-ElSheikh,Kamelya,Good,"Room was not perfect but clean, bed was really old however it was okay",There is no wifi at any location in the hotel except than reception
Sharm-ElSheikh,Songo,Fantastic stay,The fact that it had a beach and two beautiful swimming pools,No Negative Review
Sharm-ElSheikh,Sara,It was quite nice and relaxing,"The pool was nice, place is beautiful, near the beach and quiet","Make some adjustment in the room, some lights weren't working, small choice of international food"
Sharm-ElSheikh,Mohamed,Very Good,"Most like is staff , reception through Mr hitham was so cooperative , animation staff was traffic specially Ms,fatma. ,also restrun with delicious food ,really have enjoyed in the place and location, and wish to come back again.",Place just needs to be more modified in some facilities such as air conditioner.and there are moscito But everything was good .
Sharm-ElSheikh,Mones,The only problem we had,"the food wasn't taste ,No varieties , no quickly refill and we had stomach trouble","the food wasn't taste ,No varieties , no quickly refill and we had stomach trouble"
Sharm-ElSheikh,Waleed,"Staff is excellent, location , clean",Very Good as well as the location,Staff
Sharm-ElSheikh,Yassine,Good experience,The staff all good and flexible specially Ebrahim Mostafa his very helpful,"The food not good I stay 14 days always the some menue they are not changing breakfast also the some everyday for 14 daya fruits some food very poor should be change always, I spent the last 7 days eating outside"
Sharm-ElSheikh,Mohamed,Very Good,"Location, Animation team , staff","Very old furniture, food variety"
Sharm-ElSheikh,Salma,Great hotel with friendly staff,"I spent a great time at this hotel ! Rooms are very clean, staff very very friendly ! Restaurant and food is amazing hassan ebrahim at the restaurant takes good care of guests and rabiaa Amir kept our room clean 
Big thanks to Mr Ahmed too",No Negative Review
Sharm-ElSheikh,Collette,Fabulous holiday,Customer service,No Negative Review
Sharm-ElSheikh,Mohamed,I’m is a wonderful place with very nice people,"Great hotel! The staff was friendly, the room was clean and comfortable, and the location was ideal for exploring the area. Highly recommend!",No Negative Review
Sharm-ElSheikh,Mikhail,"Highly recommend this hotel for anyone seeking a perfect blend of comfort, fun, and hospitality!","We had a wonderful stay at this hotel! From the very beginning, we were warmly welcomed, and meeting Ali Shaban was a highlight – his professionalism and kindness set the tone for our experience. The rooms were spacious, impeccably clean, and full of delightful surprises, like the creative towel art left by housekeeping each day.

The buffet was exceptional, offering a wide variety of delicious options. The entertainment programs in the evenings were engaging, and we thoroughly enjoyed the additional activities, especially the artificial wave and tennis facilities.",No Negative Review
Sharm-ElSheikh,Hala,Exceptional,Every thing is OK very good,Nothing at aa
Sharm-ElSheikh,Muhammad,Exceptional,"The stuff specifically Mr. Mohamed, the reception manager, and Mr. Mustafa, the receptionist.
The beach, food, and aqua park.
Everything was exceptionally.",Nothing
Sharm-ElSheikh,Merve,Exceptional,"I came to this hotel on a trip alone and I never felt like I was in a foreign place. Everyone was very interested. Everything was great. I will choose this place again on my next visit, thank you Pickalbatros Laguna Club. Habibi come to Sharm El Sehikh Pickalbatros Laguna Club. ❤️❤️❤️",No Negative Review
Sharm-ElSheikh,Youssef,Exceptional,everything is very beautiful best hotel for me for relax thanks so much mr ali and mr mohamed from reception thanks so much for animation team best team thanks for chief animation (Mondy),No Negative Review
Sharm-ElSheikh,Youssef,Exceptional,everything is very beautiful best hotel for me for relax thanks so much mr ali and mr mohamed from reception thanks so much for animation team best team thanks for chief animation (Mondy),No Negative Review
Sharm-ElSheikh,Youssef,Exceptional,everything is very beautiful best hotel for me for relax thanks so much mr ali and mr mohamed from reception thanks so much for animation team best team thanks for chief animation (Mondy),No Negative Review
Sharm-ElSheikh,Miguel,very good,very clean and well located. Staff are very friendly and helpful. breakfast was great,nothing
Sharm-ElSheikh,Esam,"Good location, value for money","some of the staff were good and some were not. but all of them need to get training on how to deal with guests. also, one of the security guards was very rude with me when i was entering to the hotel. beach was very good although spaces between sunbeds were tight.",I didn't like that the staff is lacking much training of how to deal with guest in hospitality facility.
Sharm-ElSheikh,Daniel,Functional and close to the own beach area,The personal Has been very friendly and helpful. I can recommend Peter and Amir for their service and personal engagement for my questions,"Sanitary installation could be improved for better comfort. Especially the shower (303), where the water would run across the bathroom."
Sharm-ElSheikh,Samer,Very Good,"Location is great, clean room","Small rooms , need to make a diet before going, very simple food in breakfast and dinner make you feel boring if you stay for long time but clean"
Sharm-ElSheikh,Abufaris,Good and hope the hotel management improve the breajfast guality,"They need to develop the restaurant building, buy new utensils, raise the level of service and offer a larger variety of food.","They need to develop the restaurant building, buy new utensils, raise the level of service and offer a larger variety of food. Provide wifi everywhere"
Sharm-ElSheikh,Richard,Wonderful,"The staff at Kanabesh was proactively helpful and kind in all departments from security to reception, to restaurant to the beach providers.",No Negative Review
Sharm-ElSheikh,Ahmed,Amazing hospitality,"The hospitality was amazing. When they knew it was my wife's birthday, they sent us a complimentary cake to our room. 
We read the negative reviews and booked anyway as it had amazing price and location (beach front). We were amazed by the room we stayed in! It had a roof with a pool and sea view. It was very clean, and the furniture was in great condition, unlike previous reviews. There were recent renovations.
All in all, I would definitely visit again.","Since it was off-season, dinner was not open-buffet but rather unlimited set-menu. It was understandable as there were not many guests. Breakfast was open-buffet though.
So if you want open-buffet dinner, make sure to visit in-season (the summer or during the winter break)."
Sharm-ElSheikh,Leonid,Very Good,Price- quality is good!,No Negative Review
Sharm-ElSheikh,Niina,Great stay :),Everything was very good. Helpful staff. Nice beach spot to chill. The room was very cozy and nice. Luggage store good. The bread was a bit old in yhe breakfast but understandable due to the big varity of food. Alhamdulilaa,No Negative Review
Sharm-ElSheikh,Mostafa72,Amazing hotel with premium location.,The Location was perfect. The staff was Profesional specially Michael and karim.,Nothing
Sharm-ElSheikh,Mustapha,I like,It’s good clean near to the mall and the beach,"Need to upgrade kitchen little 
More dishes more kitchen towel and floor rug"
Sharm-ElSheikh,Lea,Exceptional,"Very friendly staff, clean and modern. Everything working. Good price. It is in a nice residential area.
Nice location close to shops, cafes and beach.",No Negative Review
Sharm-ElSheikh,Clérisse,Lovely flat and in a great location,"The flat was in a great location, the rooftop was very nice and the appartment was clean and confortable. The wifi was pretty decent, and the water was warm also... Overall great value for money, definetly recommend!",nothing
Sharm-ElSheikh,Miguel,Exceptional,Very good location and excelent service. The host allowed me to make an early check in and late check out. I would the communication with the host was fantastic,Everything perfect
Sharm-ElSheikh,Elmira,Exceptional,"Very close to the beach and famous lounge cafe Farsha in a safe Villas area Hadaba district , and iclose to my favorite bay near to Jas Fanara and Reef Oasis hotels' beaches if to look from th sea area.. Clean and quiet. Previous review was very helpful",No Negative Review
Sharm-ElSheikh,Dogus,Thank you,"Clean, simple and good. For single persons or new couple who want a quite place and reasonable price near to Naama bay or Soho square it is the right place.",No Negative Review
Sharm-ElSheikh,Elsayed,a fantastic place who radiates happiness and completeness.,"The owner is one of those wonderful people who just put your heart at ease as soon as you meet them. Ever met someone who you feel you’ve met and have known for years? This will be one of them. 
Not to mention his amazing personality and overall charisma. And I say that with absolute certainty. you truly make the my vacation better in every way. I am SUPER excited to meet you again.",Nothing
Sharm-ElSheikh,Selcuk,Friendly & warm hospitality.,This is my second visit. Everything was perfect for me. I feel like my home.,We usually come here very late at night. So maybe small water bottle with water can be good till morning.
Sharm-ElSheikh,Aytaç,"Very relaxed stay, walking distance to the beaches.",It was extremely comfortable stay for me. The place is located 5 mins away from the beaches with some coral reefs. There is also Dahab Centre mall with restaurants and markets. The studio room is well equipped. It has a large balcony for relaxation. Definitely stay again here when I visit Sharm next time.,The kettle has some rust in it. It should be replaced with a new one.
Sharm-ElSheikh,Andrea,Perfect from start to finish. Wonderful place.,"An absolute diamond of an apartment. Everything was perfect from start to finish.

Mounir the host is wonderful. Answering all my questions. Super polite and helped me out loads.

Ahmed the taxi driver was great also. Please ask Mounir for his details for airport pick up/ drop off.

The location is perfect. In a calm, peaceful and beautiful residential area which is near to everything you will need.

5 minute walk away you have the beach and beautiful beach clubs/ bars. Such as the very famous and pretty Farsha Cafe (to note that only women, couples and families are permitted) Santorini with its Greek Island blue and white them and beautiful decor/ views…and my favorite “Temple Beach” (only 100 EP for the whole day. Lounger/ Umbrella/ Towel and toilet/ shower facilities plus bar and the most friendly polite staff. Gorgeous clean beach for sunbathing/ swimming/ snorkelling…Open from about Sunrise to Sunset and allows solo travellers.

5 minute walk in the opposite direction you have a shopping/ eating area built around the “Dahab Centre” loads of mini supermarkets mainly open 24 hours. Tobacco/Cigarette shop 24 hours (a 20 pack costs about 120 ep so about £1.50) different alcohol shops like “Drinkies” and others (a big can of delicious local beer Stella is around 50 ep). You then have the “Enab Restaurant”. Beautiful decor with a water feature and ambience. Wonderful food (I ate here everyday of my stay) and amazing prices.

The apartment is super clean and very comfortable. You have privacy and it is very secure with lock to gate and front door plus very safe family friendly quite residential area. You have a comfortable double bed which can be separated to 2 singles if needed. L shaped sofa plus wifi, kitchen area with all cooking/ utensils, huge fridge. Bathroom with shower (great water pressure and always warm water when needed). Also has a wall fan and a separate air con all with remote control.",N/A….Everything was wonderful. No faults at all.
Sharm-ElSheikh,Ulaş,"Amazing, worth money","They allowed us to check in earlier than normal check in time and arranged a new room for us. Their open buffet breakfast is beyond perfect. They saw that we were tired and offered us a free open buffet lunch, they were very kind.",wifi not available in room
Sharm-ElSheikh,Mark,Friendly clean happy resort,"There are so many things to like about the Dive Inn Resort. From the moment you check in Costa and the entertainment crews, the waiting staff, the bar guys, the pool guys, the drivers, chefs, in fact everyone always have a friendly smile and eager to ensure you have a pleasant stay. You wont go hungry here with a good selection of food, including a new outside grill and pizza area . Plenty of room around the pool with the addition of a new outside jacuzzi. Rooms are clean, spacious and functional. Shop and gift shop on site selling holiday essentials, tshirts, shorts, gifts etc. Plenty of trips and excursions available for sightseeing, diving etc and a free bus to local beaches. Can book a car or taxi in the lobby if you need to get into town, airport or further afield. Wifi is free and good if you need to keep connected. All in all a friendly, clean, safe place to stay at a good price.",No Negative Review
Sharm-ElSheikh,Hassan,Wonderful,"Costa man is the man has the best smiling on the hotel so nice..friendly..helpfull 
So when you get there ask about ahamed costa
Others staff are very good too",Taxi..
Sharm-ElSheikh,Robert,Very Good,"Good budget hotel I always choose when I'm diving with Circle Divers (best dive base in Sharm for experienced divers, just a five minute walk away) - clean, relatively quiet, cheap and I didn't get diarrhoea from the breakfast... Good enough for me",No Negative Review
Sharm-ElSheikh,Rachelle-jean,The staff make this place great!,"Had a lovely stay at Dive Inn resort! Staying here exceeded my expectations and the reason for this is the staff. They are incredibly friendly and very hardworking. The welcoming feeling they gave me, made me feel right at home upon arrival. Had some really nice evenings relaxing at the bar and the bar team was amazing. Thank you Amr for making sure my glass was always full of beer, haha. They are funny but also make sure that you are okay throughout the evening. Costa went out of his way to make me feel comfortable and that everything was good in my room! And Said the lifeguard at the pool is very funny. The room was comfortable, the food was good and I liked the location because it was close to the dive center I was diving with, but honestly the staff are what make this place good. They create a lovely atmosphere and for this reason I will definitely come back here if I visit Sharm el-Sheikh again! Thanks guys 😊",all was good
Sharm-ElSheikh,Sudhir,"Decent location, value for money","Nice property, with a huge pool",Rooms appear a little worn down.. can use refurbishment.
Sharm-ElSheikh,Nurunnabi,Wonderful,"The receiptionist Costa. Super guy, he did more than we asked",No Negative Review
Sharm-ElSheikh,Ilhan,Very Good,everything was good enough.,No Negative Review
Sharm-ElSheikh,John,Great first stay will use again.,Breakfast usual fare but as much as you wanted.div3d with Circle divers just 5 minutes walk up the road.,Stayed bed and breakfast lack of local restraunts
Sharm-ElSheikh,Zilehumajawed,Wonderful,Spa,Room size
Sharm-ElSheikh,Naif,Exceptional,"The Hotel is amazing and clean and room are spaceious the staff are super friendly specially Ahmed Galal the resipation managrr he is professional it was a wonderful stay certinaly will come back again
 

 Thank you Cleopatra Luxury Resort Sharm El Sheikh team 🌹",..
Sharm-ElSheikh,Damilola,Amazing,"Everything, the staffs, facilities, location etc.","Food could've been a lot better, having heated pool would have also been better."
Sharm-ElSheikh,Ramin,Amazing,Very nice hotel nice staff especially Mr. Alferd and Mr. Ahmed khalaf from the front desk and Mr. Ahmed Fouad from Housekeeping we enjoyed our stay,No Negative Review
Sharm-ElSheikh,Maksym,Thanks Cleopatra we will be back,Very cool And very nice hotel we are looking to back again soon everyone is helpful especially Mr. Ahmed khalaf at the front desk very professional,nothing mentioned
Sharm-ElSheikh,Rob,A worthwhile stay,"convient location, really helpful front office staff and good food",Nothing really to complain about
Sharm-ElSheikh,Sophie,Amazing,"Everything, the staff were all so friendly and always asking us if there was anything we needed, the rooms were clean, we booked the swim up room which I completely recommend it was amazing! Food was nice, we were always being offered a drink, haven’t got a bad word to say!",No Negative Review
Sharm-ElSheikh,Imran,Amazing,We like all staff Especially Mr. Ahmed Khalaf from the front office the food also was very nice,Nothing
Sharm-ElSheikh,Umar,Lovely,Nice environment would came back any time nice staff especially Ahmed Khalaf from front office Thank you for everything,No Negative Review
Sharm-ElSheikh,Umar,Amazing,"We had the best holiday at Cleopatra Luxury Resort! The experience was amazing, and the staff, especially Ahmed Khalaf and Alferd Sobhy, were exceptional. We would love to come back!",Nothing
Sharm-ElSheikh,Jina,Memorable Trip!,Great service and friendly staff! Everyone was so helpful and just nice people. We have enjoyed our time here and would definitely visit Sharm El Sheikh.,It’s a shame that the pools weren’t heated as I would have liked to spend more time in the pool and the entertainment could be better with music / and activities.
Sharm-ElSheikh,Esraa,"Over all, our stay was so great and we had so much fun with alot of great and helpful people.","Everything was perfect. I want to thank all the employees starting from the reception Mr.Ahmed Mansour and Mr.Essam who tried their best to make our accommodation very comfortable!!
Also, special thanks to the animation team( Shika, Sonic, Zoly, Asel), they are the best animators ever and I hope to see them again!!♥️
The food was in good quality and large variety!!
The pools were always clean and working , Also the bars on the pools and the beach were amazing with very beautiful reefs!!
I am sure that I will repeat this experience again 🙏🏻","- Old furniture at our room.
- the all inclusive bar is closing at 12 a.m and it is early for us."
Sharm-ElSheikh,Troqi,Exceptional,Thank you mansour and saleh for everything,No Negative Review
Sharm-ElSheikh,Mohamad,Exceptional,The hotel is very nice big thanks to the reception team Ahmed Salah and Mansoor.Kareem.and Thanks you too much.,No Negative Review
Sharm-ElSheikh,Andrii,Very Good,Exceptional sea view. Location close to everything. Responsive and helpful staff at the reception. We stayed in a nice renovated room with good soundproofing. Not bad kitchen. Good housekeeping and room cleaning.,"No warm pool. Some of the staff is rude, especially barmens. There was ongoing construction renovation of pools next to our stay, but good soundproofing saved us from unconviniences."
Sharm-ElSheikh,Alaa,Best hotels in Sharm,"The hotel is very big you can't get bored at all. 
There are many swimming pools and areas to relax so everyday we used a different place to chill. The beach side was very nice and lots of activities to do for everyone. 
They also have a small playground area for children near the beach. 
We stayed in the room 131 and thar was perfect in the middle of the resort. Each swimming pool section has different cousine.

The staff members were beyond great and helpful. 
Especial thank you to Ahmad almansour. He helped us in every way and explained everything so well. 

I have lost my necklace and panicked and told him he sent staff members to search for it and thank God they found it. 

It was our first time here and we already booking a trip back in april/may",Nothing
Sharm-ElSheikh,Will,Exceptional,Helpful and friendly reception staff. Large recently renovated room with a sea view.,No Negative Review
Sharm-ElSheikh,Mohamad,Exceptional,All,No Negative Review
Sharm-ElSheikh,Rodrigue,Exceptional,Everything was awesome,No Negative Review
Sharm-ElSheikh,Tamer,It was amazing,"The best hotel ever, everyone doing more than his best to please us , they’re always smiling and helpful their hospitality reaches the top. Thanks for everyone at that wonderful place.",Nothing at all
Sharm-ElSheikh,Uzgel,Overall recommended,"I really enjoyed our stay at this hotel. Our renovated room was cozy, comfortable, and offered a stunning sea view. The food was enjoyable, and the private beach with its reef provided an unforgettable experience for us. If I were to visit Sharm again, I would choose this hotel without hesitation.

Given the number of Turkish guests at the hotel, having Turkish-speaking staff would be nice. Nonetheless, the staff was very helpful. A special thanks to Roma for organizing our transfers to the city center, the old town, and the airport—his service was seamless and the drivers were friendly and proficient in English.

I particularly enjoyed the à la carte restaurants, especially the Lebanese restaurant, although I found its name, “Mandarine,” a bit puzzling.

Overall, I would definitely recommend this hotel, if you don’t mind a few minor inconveniences.","there are areas for improvement. The provided amenities were insufficient and of poor quality, so I recommend bringing your own toiletries for your comfort. Additionally, the absence of free Wi-Fi is a significant drawback for a five-star hotel—you have to pay for internet access."
Sharm-ElSheikh,Jankov,Exceptional,The hotel is situated at the beach with beautiful coral reef. Facilities as expected for a 5* hotel.,No Negative Review
Sharm-ElSheikh,Sharon,Good,"Snorkling in the corals on this beach
Good selection of food
The complex and swimming pools","Only allowed to use one bar and it was awful, no oxygen, dark and dingy, badly decorated and a cattle market of people.
The other 2 bars you had to be ultra all inclusive to use, one was dark and dingy the other nice but no one was in them. Everyone would fit in all 3 bar areas people need variety."
Sharm-ElSheikh,Ahmed,Very Good,"Management response are agile & very responsive, staff are nice & helpful, beach are very safe, food is very clean & tasty",The facility needs some minor renovation on outdoor areas for example some walkways
Sharm-ElSheikh,Kigen,The stay was okay. Friendly staff,Nice scenery,Unstable wifi and the food wasn’t good
Sharm-ElSheikh,Mohamed,Wonderful,انصح به,"Blackout is very weak and the room is lit in the morning, I can't sleep"
Sharm-ElSheikh,Malin,We had a lovely week!,"The food , the drinks, the snorkling, the reef, the slides, the apartment, we had a great time!","No WiFi in the apartments but good in the lobby and at the stage, pool area at the beach and restaurant"
