City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
"Sekhmet Appartement 3 chambres (Apartment), Luxor (Egypt) deals",Sekhmet Appartement 3 chambres,Scored 9.5,10,10,10,10,10,10,No Rate
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.4,9.4,9,9.4,8.4
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) deals",Steigenberger Resort Achti,Scored 8.6,9,8.7,8.9,9,8.6,9.1,8.4
Iberotel Luxor (Hotel) (Egypt) deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.8,8.8,8.4,9.4,7.3
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pyramisa Hotel Luxor (Hotel) (Egypt) deals,Pyramisa Hotel Luxor,Scored 8.3,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pavillon Winter Luxor (Hotel) (Egypt) deals,Pavillon Winter Luxor,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday (Cruise) (Egypt) deals,Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday,Scored 8.7,9.5,8.4,8.8,8.9,8.6,9.3,No Rate
Hilton Luxor Resort & Spa (Resort) (Egypt) deals,Hilton Luxor Resort & Spa,Scored 9.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Jewel Howard Carter Hotel (Hotel), Luxor (Egypt) deals",Jewel Howard Carter Hotel,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday (Cruise) (Egypt) deals,MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday,Scored 9.1,9.6,9.1,9.3,9.5,9.2,9.5,2.5
"Full Moon House (Apartment), Luxor (Egypt) deals",Full Moon House,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"IN LUXOR Nile Apartments (Apartment), Luxor (Egypt) deals",IN LUXOR Nile Apartments,Scored 8.8,9.4,8.5,8.7,8.9,9.2,8.9,9.5
"Malkata House - Boutique hotel and restaurant (Apartment), Luxor (Egypt) deals",Malkata House - Boutique hotel and restaurant,Scored 9.5,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights,Scored 9,9.6,9,8.9,9.2,9.3,8.9,No Rate
"Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours (Resort) (Egypt) deals","Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours",Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan (Cruise) (Egypt) deals,Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan,Scored 8,8.9,7.8,8.5,8.2,7.9,8.5,3.1
Sofitel Winter Palace Luxor (Hotel) (Egypt) deals,Sofitel Winter Palace Luxor,Scored 8.8,9.1,8.7,9.1,9.1,8.1,9.6,8.2
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) deals,Aracan Eatabe Luxor Hotel,Scored 8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
M/Y Alexander The Great Nile Cruise - 4 Nights Every Monday From Luxor - 3 Nights Every Friday from Aswan (Cruise) (Egypt) deals,M/Y Alexander The Great Nile Cruise - 4 Nights Every Monday From Luxor - 3 Nights Every Friday from Aswan,Scored 8.5,9.1,8.3,8.9,8.6,7.9,8.2,No Rate
Steigenberger Minerva Nile Cruise - Every Thursday from Luxor for 07 & 04 Nights - Every Monday From Aswan for 03 Nights (Cruise) (Egypt) deals,Steigenberger Minerva Nile Cruise - Every Thursday from Luxor for 07 & 04 Nights - Every Monday From Aswan for 03 Nights,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"M/S Nephtis Nile Cruise (Cruise), Luxor (Egypt) deals",M/S Nephtis Nile Cruise,Scored 8,8,8.5,9.5,8.5,8.5,8.5,No Rate
Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights,Scored 9,9.3,8.6,9.4,8.8,8.5,9,No Rate
Nefertiti Hotel Luxor (Hotel) (Egypt) deals,Nefertiti Hotel Luxor,Scored 8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,9,9.1,9.3,9.2,8.8,9.2,8.3
Grand Nile Cruise Luxor to Aswan (Aparthotel) (Egypt) deals,Grand Nile Cruise Luxor to Aswan,Scored 9,10,8.8,10,10,10,8.8,No Rate
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.4,9.4,9,9.4,8.4
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) deals",Steigenberger Resort Achti,Scored 8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Iberotel Luxor (Hotel) (Egypt) deals,Iberotel Luxor,Scored 8.5,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pyramisa Hotel Luxor (Hotel) (Egypt) deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.1,6.3
Pavillon Winter Luxor (Hotel) (Egypt) deals,Pavillon Winter Luxor,Scored 9,9.3,9,9.2,9.3,8.8,9.7,8.6
Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday (Cruise) (Egypt) deals,Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday,Scored 8.7,9.5,8.4,8.8,8.9,8.6,9.3,No Rate
Hilton Luxor Resort & Spa (Resort) (Egypt) deals,Hilton Luxor Resort & Spa,Scored 9.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Jewel Howard Carter Hotel (Hotel), Luxor (Egypt) deals",Jewel Howard Carter Hotel,Scored 9,9.5,9.1,9.4,9.3,9.3,8.1,6.8
MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday (Cruise) (Egypt) deals,MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday,Scored 9.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Full Moon House (Apartment), Luxor (Egypt) deals",Full Moon House,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"IN LUXOR Nile Apartments (Apartment), Luxor (Egypt) deals",IN LUXOR Nile Apartments,Scored 8.8,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Malkata House - Boutique hotel and restaurant (Apartment), Luxor (Egypt) deals",Malkata House - Boutique hotel and restaurant,Scored 9.5,9.8,9.4,9.6,9.6,9.3,9.4,8
Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights,Scored 9,9.7,9.1,9,9.3,9.3,9,No Rate
"Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours (Resort) (Egypt) deals","Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours",Scored 9.2,9.5,8.6,9,9.2,8.8,9.4,No Rate
Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan (Cruise) (Egypt) deals,Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan,Scored 8,8.9,7.8,8.5,8.2,7.9,8.5,3.1
Sofitel Winter Palace Luxor (Hotel) (Egypt) deals,Sofitel Winter Palace Luxor,Scored 8.8,9.1,8.7,9.1,9.1,8.1,9.6,8.2
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) deals,Aracan Eatabe Luxor Hotel,Scored 8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
M/Y Alexander The Great Nile Cruise - 4 Nights Every Monday From Luxor - 3 Nights Every Friday from Aswan (Cruise) (Egypt) deals,M/Y Alexander The Great Nile Cruise - 4 Nights Every Monday From Luxor - 3 Nights Every Friday from Aswan,Scored 8.5,9.1,8.3,8.9,8.6,7.9,8.2,No Rate
"M/S Nephtis Nile Cruise (Cruise), Luxor (Egypt) deals",M/S Nephtis Nile Cruise,Scored 8,8,8.5,9.5,8.5,8.5,8.5,No Rate
Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights,Scored 9,9.3,8.6,9.4,8.8,8.5,9,No Rate
Iberotel Crown Empress Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights (Cruise) (Egypt) deals,Iberotel Crown Empress Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights,Scored 8.6,9.5,8.8,9.5,9.3,8.5,8.7,No Rate
Nefertiti Hotel Luxor (Hotel) (Egypt) deals,Nefertiti Hotel Luxor,Scored 8.6,9.4,8.2,8.6,8.5,8.9,9.5,7.6
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,9,9.1,9.3,9.2,8.8,9.2,8.3
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.4,9.4,9,9.4,8.4
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) deals",Steigenberger Resort Achti,Scored 8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Iberotel Luxor (Hotel) (Egypt) deals,Iberotel Luxor,Scored 8.5,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,9.5,9.3,9.5,9.5,9.1,9.4,8.8
Pyramisa Hotel Luxor (Hotel) (Egypt) deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.1,6.3
Pavillon Winter Luxor (Hotel) (Egypt) deals,Pavillon Winter Luxor,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday (Cruise) (Egypt) deals,Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday,Scored 8.7,9.5,8.3,8.8,8.9,8.5,9.3,No Rate
Hilton Luxor Resort & Spa (Resort) (Egypt) deals,Hilton Luxor Resort & Spa,Scored 9.1,9.3,9.2,9.3,9.3,8.7,9.3,No Rate
"Jewel Howard Carter Hotel (Hotel), Luxor (Egypt) deals",Jewel Howard Carter Hotel,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday (Cruise) (Egypt) deals,MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday,Scored 9.1,9.6,9.1,9.4,9.5,9.2,9.5,2.5
"Full Moon House (Apartment), Luxor (Egypt) deals",Full Moon House,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"IN LUXOR Nile Apartments (Apartment), Luxor (Egypt) deals",IN LUXOR Nile Apartments,Scored 8.8,9.4,8.5,8.7,8.9,9.2,8.9,9.5
"Malkata House - Boutique hotel and restaurant (Apartment), Luxor (Egypt) deals",Malkata House - Boutique hotel and restaurant,Scored 9.5,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Jewel Nile Cruise - Every Saturday from Luxor for 07 & 04 Nights - Every Wednesday From Aswan for 03 Nights,Scored 9,9.7,9.1,9,9.3,9.3,9,No Rate
"Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours (Resort) (Egypt) deals","Nefertari Nile Cruise From Luxor 4&7 Nights, Every Saturday, Monday And Thursday Including tours",Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan (Cruise) (Egypt) deals,Steigenberger Legacy Nile Cruise - Every Monday 07 & 04 Nights from Luxor - Every Friday 03 Nights from Aswan,Scored 8,8.9,7.8,8.5,8.2,7.9,8.5,3.1
Sofitel Winter Palace Luxor (Hotel) (Egypt) deals,Sofitel Winter Palace Luxor,Scored 8.8,9.1,8.7,9.1,9.1,8.1,9.6,8.2
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) deals,Aracan Eatabe Luxor Hotel,Scored 8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
M/Y Alexander The Great Nile Cruise - 4 Nights Every Monday From Luxor - 3 Nights Every Friday from Aswan (Cruise) (Egypt) deals,M/Y Alexander The Great Nile Cruise - 4 Nights Every Monday From Luxor - 3 Nights Every Friday from Aswan,Scored 8.5,9.1,8.3,8.9,8.6,7.9,8.2,No Rate
Steigenberger Minerva Nile Cruise - Every Thursday from Luxor for 07 & 04 Nights - Every Monday From Aswan for 03 Nights (Cruise) (Egypt) deals,Steigenberger Minerva Nile Cruise - Every Thursday from Luxor for 07 & 04 Nights - Every Monday From Aswan for 03 Nights,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"M/S Nephtis Nile Cruise (Cruise), Luxor (Egypt) deals",M/S Nephtis Nile Cruise,Scored 8,8,8.5,9.5,8.5,8.5,8.5,No Rate
Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights,Scored 9,9.3,8.6,9.4,8.8,8.5,9,No Rate
Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights (Cruise) (Egypt) deals,Jaz Crown Prince Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights,Scored 9,9.3,8.6,9.4,8.8,8.5,9,No Rate
Iberotel Crown Empress Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights (Cruise) (Egypt) deals,Iberotel Crown Empress Nile Cruise - Every Monday from Luxor for 07 & 04 Nights - Every Friday From Aswan for 03 Nights,Scored 8.6,9.5,8.8,9.5,9.3,8.5,8.7,No Rate
"Bellagio Beach Resort & Spa (Resort), Hurghada (Egypt) deals",Bellagio Beach Resort & Spa,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Shellghada Blue Beach (Hotel), Hurghada (Egypt) deals",Shellghada Blue Beach,Scored 8.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Zen Resort Sahl Hasheesh by TBH Hotels (Resort), Hurghada (Egypt) deals",Zen Resort Sahl Hasheesh by TBH Hotels,Scored 8.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Casa Cook El Gouna - Adults Only (Resort), Hurghada (Egypt) deals",Casa Cook El Gouna - Adults Only,Scored 9.1,9.5,9.2,9.4,9.3,8.6,9.1,9.6
"Steigenberger Golf Resort El Gouna (Resort), Hurghada (Egypt) deals",Steigenberger Golf Resort El Gouna,Scored 8.8,8.9,9.1,9.3,9.4,8.5,9,8.3
"Ancient Sands Golf Resort and Residences (Resort), Hurghada (Egypt) deals",Ancient Sands Golf Resort and Residences,Scored 8.3,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pickalbatros Aqua Park Resort - Hurghada (Resort) (Egypt) deals,Pickalbatros Aqua Park Resort - Hurghada,Scored 9,9.3,9.1,9.2,9.3,8.8,9,8.8
Pickalbatros White Beach Resort - Hurghada (Resort) (Egypt) deals,Pickalbatros White Beach Resort - Hurghada,Scored 9.5,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pickalbatros Aqua Vista Resort - Hurghada (Resort) (Egypt) deals,Pickalbatros Aqua Vista Resort - Hurghada,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pickalbatros Jungle Aqua Park - Neverland Hurghada (Resort) (Egypt) deals,Pickalbatros Jungle Aqua Park - Neverland Hurghada,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Marina Square Hostel (Hostel), Hurghada (Egypt) deals",Marina Square Hostel,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Pickalbatros Citadel Resort Sahl Hasheesh 海景 (Resort), Hurghada (Egypt) deals",Pickalbatros Citadel Resort Sahl Hasheesh,Scored 9.2,9.3,9.3,9.4,9.4,9,9.3,8.7
"Pickalbatros Blu Spa Resort - Adults Friendly 16 Years Plus- Ultra All-Inclusive (Resort), Hurghada (Egypt) deals",Pickalbatros Blu Spa Resort - Adults Friendly 16 Years Plus- Ultra All-Inclusive,Scored 9.5,9.7,9.6,9.8,9.8,9.4,9.7,9.3
"Tropitel Sahl Hasheesh (Resort), Hurghada (Egypt) deals",Tropitel Sahl Hasheesh,Scored 8.6,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Pickalbatros Dana Beach Resort - Aqua Park (Resort), Hurghada (Egypt) deals",Pickalbatros Dana Beach Resort - Aqua Park,Scored 9.2,9.4,9.3,9.4,9.4,8.9,9.4,8.2
Pickalbatros Aqua Blu Resort - Hurghada (Resort) (Egypt) deals,Pickalbatros Aqua Blu Resort - Hurghada,Scored 9.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Al Dora Resort All Inclusive Hotel (Hotel), Hurghada (Egypt) deals",Al Dora Resort All Inclusive Hotel,Scored 8.7,9.1,9,8.9,9.1,8.8,8.6,7.5
"Palm Royale Resort - Soma Bay (Resort), Hurghada (Egypt) deals",Palm Royale Resort - Soma Bay,Scored 8.7,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Soma Bay - Luxury 3 Bed Penthouse with Panoramic Sea View (Apartment), Hurghada (Egypt) deals",Soma Bay - Luxury 3 Bed Penthouse with Panoramic Sea View,Scored 9.6,9.6,9.6,9.4,9.7,10,9.8,10
"Brand new studio prime location (Apartment), Hurghada (Egypt) deals",Brand new studio prime location,Scored 1,No Rate,2.5,No Rate,No Rate,No Rate,No Rate,No Rate
Beach Albatros Aqua Park - Hurghada (Resort) (Egypt) deals,Beach Albatros Aqua Park - Hurghada,Scored 9.4,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Serenity Alpha Beach - Ex Serenity Makadi Beach (Resort), Hurghada (Egypt) deals",Serenity Alpha Beach - Ex Serenity Makadi Beach,Scored 9.2,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Sunrise Aqua Joy Resort (Resort), Hurghada (Egypt) deals",Sunrise Aqua Joy Resort,Scored 9,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Lamera Hotel (Hotel), Hurghada (Egypt) deals",Lamera Hotel,Scored 8.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Hilton Hurghada Plaza Hotel (Resort) (Egypt) deals,Hilton Hurghada Plaza Hotel,Scored 8.7,8.8,8.9,9.2,9.2,8.5,9,8.6
"Shellghada Blue Beach (Hotel), Hurghada (Egypt) deals",Shellghada Blue Beach,Scored 8.1,8.5,8,8.5,8.4,8.6,8.6,No Rate
"Zen Resort Sahl Hasheesh by TBH Hotels (Resort), Hurghada (Egypt) deals",Zen Resort Sahl Hasheesh by TBH Hotels,Scored 8.1,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Casa Cook El Gouna - Adults Only (Resort), Hurghada (Egypt) deals",Casa Cook El Gouna - Adults Only,Scored 9.1,9.5,9.2,9.4,9.3,8.6,9.1,9.6
"Steigenberger Golf Resort El Gouna (Resort), Hurghada (Egypt) deals",Steigenberger Golf Resort El Gouna,Scored 8.8,8.9,9.1,9.3,9.4,8.5,9,8.3
"Ancient Sands Golf Resort and Residences (Resort), Hurghada (Egypt) deals",Ancient Sands Golf Resort and Residences,Scored 8.3,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
