City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,Positive Review Translated,sentiment classification,Semantic Phrases Pos,Semantic Phrases Neg,positive tokens,negative tokens
Luxor,Pavillon Winter Luxor,Graham,United Kingdom,2 nights   ,Jan-24,Group,Classic Room with 2 Single Beds with Garden View,"February 16, 2024",great location great breakfast,one restaurants winter palace formal,One of the restaurants in Winter Palace too formal,Great location. Great breakfast.,-1,"['great', 'location', 'breakfast', 'great location', 'great breakfast']","['formal', 'winter', 'palace', 'restaurants', 'restaurants winter']","['location', 'breakfast']",[]
Luxor,Sonesta St George Hotel Convention Center,Laurence,Switzerland,2 nights   ,Dec-24,Couple,Royal Club Side Nile View Room,"January 5, 2025",fabulous terrace view nile welcome desk staff jacuzzi room,bar staff rude breakfast cheap cheese,"The bar staff (rude), the breakfast (cheap cheese)","The fabulous terrace with a view on the Nile, the welcome desk staff, the jacuzzi in the room",-1,"['fabulous', 'view', 'nile', 'desk staff', 'jacuzzi']","['cheap', 'bar', 'cheese', 'breakfast', 'staff rude']","['nile', 'view', 'staff']","['bar', 'breakfast', 'staff']"
Sharm El Sheikh,Jaz Fanara Resort,Luca,Italy,7 nights   ,October 2024,Group,Superior Queen or Twin Bed Garden or Pool View,"October 21, 2024",great selection,nothing,Nothing,Great selection.,1,[],[],[],[]
Luxor,LUXOR Nile Apartments,Bastien,Switzerland,3 nights   ,Jul-23,Solo traveler,Deluxe Apartment,"July 21, 2023",large apartment balcony magnificent view nile luxor opposite pleasant roof top degree view sunset house center side ideal visiting monuments thank much islam precious help kindness,negative feedback,No Negative Feedback,"large apartment with balcony and magnificent view of the nile and luxor opposite. pleasant roof top for a 360 degree view and the sunset. the house is not in the center but on the other side, ideal for visiting the monuments. thank you very much to Islam for his precious help and kindness.",1,"['islam precious help', 'house center ideal', 'visiting monuments', 'view nile', 'apartment balcony']",[],"['nile', 'view']",[]
Hurghada,KaiSol Romance Resort Sahl Hasheesh Adults,Philip,United Kingdom,8 nights   ,September 2024,Couple,Jacuzzi Suite,"September 14, 2024",firstly hotel amazing secondly staff absolutely amazing would like thank ibrahim reception always helpful shazhy made room everyday bassem works hard delivering drinks everyone kept us supplied drinks day amir beach bar works hard finally salama looked us well nothing much trouble nd stay definitely back,nothing,Nothing,"Firstly the hotel is amazing. Secondly the staff are absolutely amazing .. we would like to thank Ibrahim on the reception who is always so helpful. Then Shazhy who made our room up everyday, then Bassem who works so hard delivering drinks to everyone and kept us supplied with drinks during the day , then Amir at the beach bar who again works so hard . Finally to Salama , who looked after us so well , nothing was to much trouble. This was our 2nd stay here and we will most definitely be back again.",1,"['ibrahim reception helpful', 'staff', 'absolutely amazing like', 'beach bar', '2nd stay']",[],"['reception', 'beach', 'staff']",[]
Sharm El Sheikh,Four Seasons Resort Sharm El Sheikh,Linzi,United Kingdom,6 nights   ,March 2024,Family,Two Bedroom Residential Suite Palm View,"March 15, 2024",everything,nothing,Nothing.,Everything!,1,[],[],[],[]
Sharm El Sheikh,Four Seasons Resort Sharm El Sheikh,Dannielle,United States,2 nights   ,December 2024,Group,Superior Twin Room with Palm View,"January 13, 2025",gorgeous property top notch breakfast buffet many restaurant options choose,nothing,Nothing,Gorgeous property with a top notch breakfast buffet and many restaurant options to choose from.,1,"['notch', 'property', 'options choose', 'gorgeous', 'breakfast buffet']",[],['breakfast'],[]
Hurghada,Sunrise Aqua Joy Resort,Ngadoan,Germany,3 nights   ,December 2024,Group,Standard Room,"December 26, 2024",stay pleasant since first moment warmly welcomed staff speaking german christmas event th bonus includes extensive elaborate dinner well program since morning show evening resort accommodates lot families children playing around everyone welcome ad tolerating kinds tourists receptionist wael exceptional went beyond accommodate every wishes thank much,negative feedback,No Negative Feedback,"The stay was pleasant. Since the first moment we were warmly welcomed by the staff. They are speaking German.

The Christmas event on 24th was a bonus. It includes an extensive and elaborate dinner as well as a program since the morning and a show in the evening.

The resort accommodates a lot of families so children are all playing around and everyone is welcome ad tolerating all kinds of tourists.

The receptionist Wael is exceptional, went above and beyond to accommodate every of our wishes. Thank you so much for this.",1,"['stay pleasant moment', 'receptionist wael', 'welcomed staff speaking', 'german christmas', 'resort accommodates lot']",[],['staff'],[]
Sharm El Sheikh,Sierra Sharm El Sheikh,Mary,United Arab Emirates,1 night   ,July 2024,Couple,Standard Twin Room with Garden View,"July 19, 2024",every thing,variety food,Variety of food,Every thing,-1,[],[],[],[]
Sharm El Sheikh,Amphoras Blu,Marina,Egypt,3 nights   ,May 2024,Couple,Standard Room Garden View,"June 2, 2024",location amazing ww car really close old market heaven church naema bay soho square definitely worth visiting hotel coral reef beach snorkeling right door inclusive package really good buffet lots variety food tastes good stuff friendly cooperative great value money offered free room upgrade pool view access star sister hotel,injured surgeon fish beach please take care get close fish,I was injured by a surgeon fish while i was at beach; so please take care and don’t get close to fish,"It is location is amazing ww had a car so it was really close to the old market; Heaven Church and Naema Bay; soho square definitely worth visiting.
The hotel has a coral reef beach with snorkeling right at the door; the all inclusive package is really good; the buffet has lots of variety and the food tastes good; the stuff are friendly and cooperative; great value of money 
they offered me free room upgrade with pool view and access to their 5 star sister hotel",-1,"['soho square', 'definitely worth', 'heaven church naema', 'buffet lots variety', 'offered free room']","['don close', 'care', 'beach', 'injured surgeon', 'fish']",['room'],['beach']
Hurghada,Pickalbatros Citadel Resort Sahl Hasheesh,Emad,Egypt,3 nights   ,January 2025,Family,Special Offer - Standard Room with Sea View - Egyptians and Residents Only,"January 6, 2025",facility amazing food great staff extremely filriendly room huge super nice exceptional view,negative feedback,No Negative Feedback,"The facility is amazing. The food is great. The staff is extremely filriendly

The room is huge and super nice with an exceptional view",1,"['food', 'exceptional view', 'staff extremely', 'extremely filriendly room', 'super nice']",[],"['food', 'room', 'view', 'staff']",[]
Hurghada,Casa Cook El Gouna Adults,Bawazeer,Saudi Arabia,5 nights   ,August 2023,Solo traveler,Premium King Terrace Sea View,"August 7, 2023",interior design helpful staff good value services accessible hotel application,negative feedback,No Negative Feedback,"Interior design 
Helpful staff 
Good value 
All services accessible through hotel application",1,"['value', 'good', 'services accessible', 'hotel', 'interior design']",[],['hotel'],[]
Aswan,NUB INN,Jhon,United Kingdom,1 night   ,May 2023,Solo traveler,Single Room with Balcony,"May 3, 2023",lovely hotel nice clean good food great views nile,internet working time unfortunately ok,"The Internet was not working all the time unfortunately, other than that, all ok","Lovely hotel, nice and clean, good food and great views of the Nile",-1,"['views', 'good food', 'nice clean', 'nile', 'hotel']","['time', 'working time', 'unfortunately', 'ok', 'internet']","['nile', 'food', 'hotel', 'clean']",[]
Luxor,SWEET HOSTEL LUXOR,Britta,Denmark,1 night   ,November 2024,Solo traveler,Single Room,"December 2, 2024",super nice helpful people run place enjoyed stay room basic fine close train staion gobus also makes convenient even invited stop stay westbank taking bus spent time nice roof terrace great help luxor temple stone throw away perfect go sunset hope come back one day thanks,negative feedback,No Negative Feedback,"Super nice and helpful people run this place and I enjoyed my stay here. My room was basic, but fine.
It's very close to the train staion and Gobus, which also makes it very convenient. I was even invited to stop by after my stay on the Westbank and before taking the bus - which I did and I spent some time on the nice roof terrace again. It was a great help.
The Luxor Temple is a stone throw away. Perfect to go there at sunset.
Hope to come back one day. Thanks :-)",1,"['westbank taking bus', 'super nice helpful', 'stay room basic', 'spent time nice', 'luxor temple stone']",[],['room'],[]
Luxor,Hilton Luxor Resort Spa,Lydia,Ireland,2 nights   ,March 2024,Family,Family King Room with Connected Twin,"May 13, 2024",hotel really nice staff really helpful location great visiting sites nearby also beautiful sit enjoy lunch right river nile,negative feedback,No Negative Feedback,"Hotel was really nice, staff were really helpful. Location was great for visiting sites nearby. It was also beautiful to sit and enjoy lunch right by the river nile.",1,"['visiting sites', 'sit enjoy lunch', 'staff really helpful', 'river nile', 'hotel really']",[],"['nile', 'hotel', 'staff']",[]
Sharm El Sheikh,Pickalbatros Laguna Vista Aqua Park HRS Inclusive,Glen,United Kingdom,4 nights   ,January 2025,Solo traveler,Deluxe Room with Pool Access - Adults Only,"January 22, 2025",access late dinner midnight late lunch beach bar pm albeit limited choice pizza chips pasta station comfortable beds spacious rooms bathroom beach access onsite aquapark onsite nice friendly staff,paid extra deluxe swim pool room leading veranda pool freezing heated disappointed sun hit pool around onward shade air temperature c time tempted use swim pool waste extra money paid swim room pools heated especially winter month january february air tempreture chilly use cold unheated pool pools heated pools entire complex small children using adult pools also pools heated children stay pool adults pools instead whole hotel guests adults children trying squeeze adult heated pools whilst pools empty cold enter indoor heated pool spa area closed pm stay open atleast pm spa still open pm staff maybe split lifeguard shifts lifeguard cover pm also indoor pool sunset affect indoor pool lights heated ala carte restaurant printed menu bring starter mains desert without telling ingredients unless ask waiters still know gluten lactose allergies eat mushroom due allergy mixed beef dish looked like piece beef luckily detected first mouthful spat manners made gag touch beef dish thereafter,"1. I Paid extra for deluxe swim up pool room leading off my veranda but pool was freezing and not heated, very disappointed as the sun only hit the pool around 7am and by 9am onward it was in the shade and air temperature only 22c at that time so wasn't tempted to use my swim up pool and waste of extra money paid. Swim up room pools should be heated especially in winter month of January, February when air tempreture is chilly to use a cold unheated pool.

2. Only 2 pools heated out of 10 pools in the entire complex and small children were using the adult pools also. More pools should be heated so children can stay in their own pool and adults can be in other pools instead of the whole hotel guests adults and children trying to squeeze into only 2 adult heated pools whilst the other 8 pools were empty as too cold to enter.

3.Indoor heated pool in Spa area closed at 5pm? But should stay open until atleast 6.30pm as the spa is still open until 7pm and has staff in there. 
Maybe split the lifeguard shifts so they have a lifeguard to cover until 7pm also in the indoor pool as sunset should not affect the indoor pool which has lights and is heated. 

4. The ala carte restaurant doesn't have a printed menu, they just bring you starter , mains and desert without telling you what's in the ingredients unless you ask and some of the waiters still didn't know if was gluten, or lactose or what other allergies . I couldn't eat mushroom due to allergy but it was mixed up in the beef dish and looked like a piece of beef but luckily I detected it in the first mouthful and spat it out with out manners as it made me gag, i couldn't touch the beef dish thereafter.","Access to late dinner until midnight , late lunch at beach bar until 5pm albeit limited choice of pizza , chips and pasta station.
Comfortable beds and spacious rooms/bathroom 
Beach access onsite 
Aquapark onsite
Nice friendly staff",-1,"['station comfortable beds', 'limited choice pizza', 'aquapark', 'dinner midnight late', 'bathroom beach access']","['indoor heated', 'stay pool adults', 'spa area closed', 'pools instead hotel', 'heated ala carte']",['beach'],"['pool', 'hotel']"
Aswan,NUB INN,Ziyaad,South Africa,1 night   ,October 2023,Couple,Economy Double Room,"October 5, 2023",chymma staff excellent went way make stay comfortable made arrangements us required even allowed us stay bit longer room u til leave airport would recommend nub inn anyone visiting aswan visiting aswan favour stay one nubian villages authentic hospitable feeling,much bit way honestly part allure,Not much. It’s a bit out of the way but honestly that’s part of the allure.,"Chymma and her staff were excellent. They went out their way to make our stay comfortable, made arrangements for us as required and even allowed us to stay a bit longer in our room u til we had to leave for the airport. 
I would recommend Nub Inn to anyone visiting Aswan, and if you are visiting Aswan do yourself a favour and stay in one of the Nubian villages. It has the most authentic hospitable feeling.",-1,"['villages authentic hospitable', 'nub inn', 'aswan', 'airport recommend', 'chymma staff excellent']","['bit', 'way', 'honestly', 'way honestly', 'allure']",['staff'],[]
Luxor,Oasis hotel,Porntavee,Thailand,4 nights   ,Mar-23,Solo traveler,Single Room with Shared Toilet,"March 24, 2023",okay,,,Okay,-1,[],[],[],[]
Luxor,Jolie Ville Hotel Spa Kings Island Luxor,Inna,United Kingdom,2 nights   ,Nov-24,Group,Family Room,"December 9, 2024",great hotel great place,negative feedback,No Negative Feedback,Great hotel and great place,1,"['place', 'great', 'great place', 'hotel', 'hotel great']",[],['hotel'],[]
Sharm El Sheikh,Xperience Kiroseiz Parkland,Winter,Israel,9 nights   ,April 2023,Family,Deluxe Room,"April 15, 2023",hotel huge lot sliders staff helpfull,cleaning time room late pm never got enough towels coffee poor quality alcohol poor quality food lot pepper vegetables lot diversity breakfast,"The cleaning time of the room was very late as 4 pm.
We never got enough towels.
Coffee is very poor quality
Alcohol was very poor quality
Food has a lot of pepper.
Very few vegetables.
Not a lot of diversity in breakfast","The hotel is huge, has a lot of sliders the staff was very helpfull",-1,"['helpfull', 'sliders', 'staff', 'huge lot', 'hotel']","['food lot pepper', 'pm got towels', 'time room', 'poor', 'alcohol poor quality']","['hotel', 'staff']","['food', 'room']"
Luxor,Temple Hotel Spa Luxor,Silvia,Italy,2 nights   ,Feb-25,Couple,Standard Twin Room,"February 8, 2025",l hotel di medio livello le camere sono grandi e spaziose letti comodi e lo staff attento solo il bagno un po datato la colazione variegata e buona,negative feedback,No Negative Feedback,The hotel is medium -level! The rooms are large and spacious! Comfortable beds and careful staff! Only the bathroom is a bit dated .. breakfast is varied and good!,1,"['bathroom', 'medium', 'careful staff', 'breakfast varied good', 'spacious comfortable beds']",[],"['breakfast', 'staff']",[]
Luxor,Abeer Guest House,Natalia,Italy,1 night   ,Jan-25,Couple,Deluxe Double or Twin Room,"February 6, 2025",super friendly available helpful staff great location super breakfast great value money,ground floor next street little bit noisy like,"We were on the ground floor next to the street, which was a little bit noisy. But it's like that!","Super friendly, available, and helpful staff. Great location. Super breakfast! Great value for money.",-1,"['value money', 'super friendly available', 'location', 'staff great', 'breakfast']","['bit', 'little', 'ground', 'street', 'noisy like']","['location', 'breakfast', 'staff']",[]
Hurghada,Golden Sun Hotel Hurghada,Marius,Romania,1 night   ,April 2024,Couple,Deluxe Queen Room,"April 10, 2024",friendly staff even came show buy fruit,old building old furniture,old building old furniture,friendly staff even came with me to show me where to buy fruit,-1,"['came', 'buy', 'friendly', 'staff', 'fruit']","['old', 'building', 'furniture', 'old building', 'old furniture']",['staff'],['old']
Hurghada,TK Suites,Ozge,Turkey,1 night   ,January 2025,Solo traveler,Deluxe Suite,"January 6, 2025",hasan help every thing thank,negative feedback,No Negative Feedback,hasan help me about every thing. thank you again.,1,"['thank', 'thing', 'help', 'hasan', 'hasan help']",[],[],[]
Sharm El Sheikh,Sunrise Arabian Beach Resort,Stuart,United Kingdom,12 nights   ,January 2025,Couple,Deluxe Swim-Up Room - ( Adults Only ),"January 22, 2025",absolutely loved time sunrise arabian beach resort food excellent varied service received outstanding ehab good barman adults pool looked us really well abd looked us pool helpful lovely guy ahamed looked room every day helpful nothing much trouble diana animation team nice definitely booking next year rooms service location,absolutely nothing like resort,There was absolutely nothing that we did not like about this resort.,"We absolutely loved our time at the Sunrise Arabian Beach Resort. The Food was excellent and very varied. The service we received was outstanding. Ehab was such a good barman (adults only pool) who looked after us really well. Abd who looked after us at the pool was so helpful and such a lovely guy. Ahamed who looked after our room every day was very helpful and nothing was to much trouble for him. Diana on the animation team was so nice.
We will definitely be re booking for next year.
Rooms5.0
Service5.0
Location5.0",-1,"['beach', 'ehab good barman', 'absolutely loved', 'time sunrise arabian', 'booking year rooms5']","['absolutely', 'did like', 'resort', 'like resort', 'absolutely did']",['beach'],[]
Aswan,Steigenberger Omar El Khayam Nile Cruise Every Monday Aswan Nights Every Friday Abu Simbel Nights,Anna,United Kingdom,4 nights   ,February 2023,Couple,Standard Cabin,"February 21, 2023",boat little dated well maintained extremely clean impressed housekeeping spotlessly clean cabin rest boat food ok excellent decent good variety different dishes every day would recommend cruise want take easy rush abu simbel road quite relaxing way travelling aswan abu simbel,instant coffee awful desserts lunch dinner bit ish every time,Instant coffee was awful and desserts at lunch and dinner a bit same ish every time.,"The boat is a little dated but very well maintained and extremely clean. I was impressed with the housekeeping, spotlessly clean cabin and the rest of the boat. Food was ok, not excellent but decent, good variety and different dishes every day. I would only recommend this cruise if you want to take it easy and not rush to Abu Simbel by road, it is quite relaxing way travelling from Aswan to Abu Simbel.",-1,"['boat little dated', 'travelling aswan abu', 'food ok', 'simbel road quite', 'spotlessly clean cabin']","['bit ish', 'time', 'desserts lunch', 'awful', 'instant coffee']","['food', 'clean']",[]
Hurghada,Pickalbatros Aqua Park Resort Hurghada,Moustafa,United Arab Emirates,3 nights   ,June 2024,Family,Special Offer - Standard Double Room - Egyptians and Residents Only,"June 24, 2024",staff amazing helpful,nothing,Nothing,Staff are amazing and very helpful,1,"['amazing', 'helpful', 'amazing helpful', 'staff', 'staff amazing helpful']",[],['staff'],[]
Hurghada,Pickalbatros White Beach Resort Hurghada,Riad,United States,3 nights   ,February 2025,Family,Deluxe Room,"February 2, 2025",service,good,All was good,The service,-1,[],[],[],[]
