City,Hotel Name,Reviewer Name,Reviewer Nationality,Duration,Check-in Date,Travel Type,Room Type,Review Date,Positive Review,Negative Review,Negative Review Translated,sentiment classification
Luxor,Steigenberger Resort Achti,Girish,United Kingdom,3 nights   ,February 2025,Couple,Deluxe King Nile View,Reviewed: 3 February 2025,location,room snd bathroom nit quality,Room snd bathroom nit 5* quality,-1
Luxor,Steigenberger Resort Achti,Karen,Malaysia,3 nights   ,January 2025,Group,Superior Twin Plus Garden View (Bungalow),Reviewed: 2 February 2025,one best stays egypt room clean spacious staff friendly professional helpful loved buffet style breakfast mostly western local options always started day happy stomach sunset night views perfect small live local band performances absolutely worth staying,inconvenience found room key sometimes work reactivate lobby asking staff informed us key placed near cellphone credit card would great told us check walk way reactivate especially since room quite far lobby wifi worked perfectly fine lobby room air conditioner old school style worked great heating option nights pretty chilly,"The only inconvenience I found was the room key. Sometimes it wouldn't work, and I had to reactivate it at the lobby. After asking about it, the staff informed us that the key shouldn't be placed near a cellphone or credit card. It would have been great if they had told us this during check-in, so we didn't have to walk all the way to reactivate it, especially since our room was quite far from the lobby. The WiFi worked perfectly fine in the lobby but not in the room. The air conditioner was old-school style—it worked great, but it didn’t have a heating option, so the nights were pretty chilly.",-1
Luxor,Sonesta St George Hotel Convention Center,Bart,Belgium,5 nights   ,November 2024,Couple,Standard Side Nile View Room,Reviewed: 3 November 2024,comfortable rooms good breakfast incredible staff,0,-,1
Luxor,Sonesta St George Hotel Convention Center,Jiayi,Malaysia,1 night   ,February 2025,Family,Standard City View Room,Reviewed: 7 February 2025,jacuzzi,nothing,Nothing,1
Luxor,Sonesta St George Hotel Convention Center,Rosemarie,United Kingdom,4 nights   ,February 2025,Couple,Standard City View Room,Reviewed: 7 February 2025,property lovely friendly staff japanese tepanyaki restaurant great lovely rooms personally beds bit hard large nice facilities,evening buffet pricey compared restaurants eat much much value money road location hard walk due lack poor pavements want go night town bit unsafe day roads egypt,"The evening buffet was pricey compared with the other restaurants and as we don’t eat that much not so much value for money. The road by the location was hard to walk down due to lack of/ poor pavements, so didn’t want to go out at night into town. It was a bit unsafe during the day too (but aren’t all roads in Egypt!).",-1
Luxor,Sonesta St George Hotel Convention Center,Elaine,France,7 nights   ,February 2025,Family,Standard Side Nile View Room,Reviewed: 7 February 2025,service excellent areas nagha poolside extra special youssef reception deserved medal breakfast superb nightly singer anna truly extraordinary,would liked entertainment sporting activities please,I would have liked more entertainment and sporting activities please,-1
Luxor,Sonesta St George Hotel Convention Center,Virginia,United Kingdom,3 nights   ,February 2025,Group,Royal Club City View Room,Reviewed: 6 February 2025,property well maintained clean bedding extremely comfortable excellent breakfast buffet,nothing everything expected,"Nothing, everything was as expected.",-1
Luxor,Sonesta St George Hotel Convention Center,Patricia,United Kingdom,4 nights   ,February 2025,Couple,Royal Club City View Room,Reviewed: 6 February 2025,luxury hotel banks nile fantastic welcome malek katherine guest relations special mentions must go marian egyptologist guide peter driver made excursions special care knowledge booked travel desk hotel captain allah warm hospitality gave us amazing sunset felucca trip thanks,negative feedback,No Negative Feedback,1
Luxor,Sonesta St George Hotel Convention Center,Luna,United Kingdom,2 nights   ,January 2025,Couple,Standard Side Nile View Room,Reviewed: 5 February 2025,location convenient room spacious quiet staff wonderful friendly room service cheap japanese restaurant welcome change standard egyptian fare,water shower kept going hot cold manage control pressure also poor window dirty inside,"The water in the shower kept going hot and cold, and we couldn’t manage to control it. The pressure was also poor. The window was very dirty from the inside.",-1
Luxor,Sonesta St George Hotel Convention Center,Kumar,India,2 nights   ,February 2025,Couple,Standard Side Nile View Room,Reviewed: 5 February 2025,nice property overlooking nile reached pretty late however check smooth location good luxor temple around km away found little overpriced considering facility provided,nothing specific,Nothing specific,-1
Luxor,Sonesta St George Hotel Convention Center,Travel,United States,2 nights   ,February 2025,Solo traveller,Standard Side Nile View Room,Reviewed: 5 February 2025,cairo expecting anything good place amazing great location great prices great food clean luxurious,negative feedback,No Negative Feedback,1
Luxor,Sonesta St George Hotel Convention Center,Stefan,Sweden,1 night   ,February 2025,Family,Standard Side Nile View Room,Reviewed: 4 February 2025,room beds helpful personnel room upgrade nile view sunset pool area walking distance corniche luxor temple,unfinished construction sides hotel room side nile view ok view even nicer get room straight towards nile,"Unfinished construction on the sides of the hotel. Our room was a ""side Nile view"". OK. But view is even nicer if you get a room straight towards the Nile.",-1
Luxor,Pyramisa Hotel Luxor,Danielle,United States,1 night   ,October 2024,Couple,Deluxe Room with Nile View,Reviewed: 3 November 2024,absolutely beautiful place friendliest staff wish stayed longer,thing like pool closing sundown would love swam evening,The only thing I didn’t like was the pool closing at sundown would love to have Swam in the evening,-1
Luxor,Pyramisa Hotel Luxor,Ankh,Finland,3 nights   ,February 2025,Family,Deluxe Room with Nile View,Reviewed: 5 February 2025,got wrong rooms unprepared room thank mohammad good response issues devices room broken kettle refrigerator room manager took care time beautiful hotel nile view old facilities,things outdated hair dryer doors stuff hope hotel invest money small details guest convenience,"Things are outdated such as hair dryer, doors and other stuff. 
I hope the hotel can invest some money for small details for guest's convenience.",-1
Luxor,Pyramisa Hotel Luxor,J,Singapore,2 nights   ,January 2025,Couple,Standard Double Room with City View,Reviewed: 3 February 2025,stayed two night tour kind enough provide us early checkin since arrived luxor morning spend nice evening near nile river staff friendly helpful specially ms martina location wise easier go attractions,facilities modified ex c unit,Some facilities can be modified. Ex A/C unit,-1
Luxor,Pyramisa Hotel Luxor,Mariyam,Maldives,3 nights   ,February 2025,Couple,Standard Double Room with City View,Reviewed: 2 February 2025,staffs helpful great location,nil,Nil,-1
Luxor,Pyramisa Hotel Luxor,Renee,United Kingdom,1 night   ,December 2024,Family,Standard Double Room with City View,Reviewed: 1 February 2025,lovely hotel friendly staff,negative feedback,No Negative Feedback,1
Luxor,Pyramisa Hotel Luxor,Filip,Slovakia,2 nights   ,January 2025,Family,Double or Twin Nile view Room,Reviewed: 30 January 2025,nile view room big breakfast garden swiming pool,reception staff clearly confused one really knew arrived hotel midnight long journey waited almost minutes check guys clearly newbies would deserved someone experienced knows thing saved us experienced porter provided us information hotel showed us room reception staff gave us room cards provide information services facilities hotel happen hotel,"The reception staff was clearly confused as no one really knew what to do. We arrived at the hotel before midnight after a long journey and waited almost 30 minutes to check in. 2 guys who were clearly newbies would have deserved someone experienced who knows what to do. The only thing that saved us was an experienced porter who provided us with information about the hotel and showed us to our room, as the reception staff only gave us room cards and did not provide information about the services and facilities of the hotel. This should not happen in a 4* hotel.",-1
Luxor,Pyramisa Hotel Luxor,Luca,Italy,3 nights   ,January 2025,Family,Double or Twin Nile view Room,Reviewed: 29 January 2025,pyramisa hotel exceptional stay huge structure dozens customer service staff internal buffet restaurant restaurants always structure italian cuisine restaurant chinese one etc also poolside bar large breakfast special mention abdul staff mohamed others limousine service desk always active hotel lobby dozens proposals tours experiences guide also italian rare thing luxor punctual precise honest,negative feedback,No Negative Feedback,1
Luxor,Pyramisa Hotel Luxor,Ariel,United Kingdom,1 night   ,January 2025,Family,Double or Twin Nile view Room,Reviewed: 29 January 2025,great views nile really lovely pool lounge area overlooking river big selection breakfast staff nice helpful reasonable price rooms decor bit outdated absolutely good well loved hotel,communal areas also smelled bit smoke great non smoker worse public areas throughout city location little way main city though easy unpleasant walk,"The communal areas also smelled a bit of smoke, so not great if you're a non-smoker, but no worse than any public areas throughout the city. The location is a little out the way of the main city - though an easy (if unpleasant) walk.",-1
Luxor,Pyramisa Hotel Luxor,Ashton,Uganda,3 nights   ,January 2025,Family,Standard Single Room with City View,Reviewed: 29 January 2025,views breathtaking across nile rooms spacious clean restaurants amazingly delicious italian chinese food breakfast ok wish continental options,breakfast could use continental options,Breakfast could use more continental options,-1
Luxor,Pyramisa Hotel Luxor,Chia,United Kingdom,3 nights   ,January 2025,Family,Premium Room With Nile View,Reviewed: 28 January 2025,room spacious comfortable hotel staffs especially receptionist martina helpful responsive solving issues encountered stay also take felucca watch sunset directly hotel reasonable price,issues wifi room problem quickly resolved reflecting problems hotel management team,"Issues with WiFi in the room, but the problem was quickly resolved after reflecting the problems to the hotel management team.",-1
Luxor,Pavillon Winter Luxor,Lu,China,1 night   ,February 2025,Group,Classic Room with 2 Single Beds with Garden View,Reviewed: 1 February 2025,great location quiet beautiful island helpful friendly staff,negative feedback,No Negative Feedback,1
Luxor,Pavillon Winter Luxor,John,United Kingdom,3 nights   ,January 2025,Solo traveller,Classic Room with 1 King Bed with Garden View,Reviewed: 7 February 2025,location perfect,negative feedback,No Negative Feedback,1
Luxor,Pavillon Winter Luxor,Daniel,Netherlands,3 nights   ,January 2025,Group,Classic Room with 2 Single Beds with Garden View,Reviewed: 19 January 2025,oasis middle luxor outside area shared sheraton including swimming pool gardens part alone worth stay breakfast good well room spacious amazing shower really liked,communication via booking chat patchy slow unfortunately coffee breakfast honestly worst coffee ever hotel tasted like dirty rag staff neutral price high egypt facilities made somewhat pillows way hard tall beware atms placed hotel entrance charge outrageous fee withdrawals,"Communication via Booking chat was patchy and slow. 

Unfortunately the coffee during breakfast was honestly the worst coffee I have ever had in a hotel… it tasted like a dirty rag. 

Staff was neutral. 

Price is high for Egypt, but the facilities made up for it somewhat. 

Pillows were way too hard and tall. 

Beware of the ATMs placed at the hotel’s entrance—they charge an outrageous fee for withdrawals.",-1
Luxor,Pavillon Winter Luxor,Neil,Australia,5 nights   ,January 2025,Family,Classic Room with 1 King Bed with Garden View,Reviewed: 19 January 2025,great hotel friendly helpful staff lovely pool gardens great able use amenities winter palace would highly recommended,nothing good,Nothing - it was all good!,-1
Luxor,Pavillon Winter Luxor,Ian,United Kingdom,1 night   ,January 2025,Family,Classic Room with 1 King Bed with Garden View,Reviewed: 14 January 2025,everything hotel first class location friendly attentive staff ambience facilities food decor like going back time era things meant something,leaving next morning unfortunately used stopover luxor greatly regret,"Leaving the next morning. Unfortunately we only used it as a stopover in Luxor, which we greatly regret now",-1
Luxor,Pavillon Winter Luxor,Valentina,United Kingdom,1 night   ,January 2025,Couple,Classic Room with 2 Single Beds with Garden View,Reviewed: 8 January 2025,fantastic location facilities gardens best breakfast whole trip although centrally located room really quiet,twin bed quite small hotel could bit uplift carpet room seen better days shower curtain bathroom looks cheap dinner corniche restaurant average,"The twin bed was quite small.
The hotel could do with a bit of an uplift. The carpet in the room has seen better days and the shower curtain in the bathroom looks cheap. Dinner at the corniche restaurant was average.",-1
Luxor,Pavillon Winter Luxor,Karen,United Kingdom,7 nights   ,December 2024,Couple,One-Bedroom Prestige King Suite with Balcony and Garden View,Reviewed: 5 January 2025,perfect location great garden pool,outdated needs renovation,Very outdated and needs renovation,-1
Luxor,Pavillon Winter Luxor,Fabien,France,3 nights   ,December 2024,Family,Classic Room with 1 King Bed with Garden View,Reviewed: 1 January 2025,happy time well located hotel crew vert nice special congrats breakfast crew,dinner best,Dinner is not the best,-1
Luxor,Pavillon Winter Luxor,Julia,United Kingdom,4 nights   ,December 2024,Group,Classic Room with 1 King Bed with Garden View,Reviewed: 30 December 2024,well designed comfortable hotel sharing facilities pool beautiful gardens bar restaurants winter palace gracious staff good breakfast excellent swimming pool really enjoyed stay,think nightly barbecue would popular offered less formal local type dining option whereby individual items could ordered rather quite expensive fixed rate buffet would really complement hotel existing elegant formal restaurants serving european food,"I think the nightly barbecue would be more popular if it was offered as a less formal, more local type dining option, whereby individual items could be ordered, rather than being a (quite expensive) fixed rate buffet. This would really complement the hotel’s existing elegant and formal restaurants serving European food.",-1
Luxor,Pavillon Winter Luxor,Jessica,Mexico,5 nights   ,December 2024,Family,Classic Room with 2 Single Beds with Garden View,Reviewed: 27 December 2024,staff kind never asking money help clean garden amazing swimming pool nice excellent,negative feedback,No Negative Feedback,1
Luxor,Hilton Luxor Resort Spa,Michel,Belgium,4 nights   ,November 2023,Family,Guestroom Twin Bed,Reviewed: 20 November 2023,friendly receptionists thank lot karim restaurant events well organized excellent food nice place along nile large swimming pools,nothing,nothing,1
