City,Hotel_Name,Hotel_over_all_rate,Staff,Facilities,Cleanliness,Comfort,Value_for_money,Location,Free_Wifi
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) Deals,Aracan Eatabe Luxor Hotel,Scored 8.6,9.2,8.6,8.8,8.9,8.6,9.6,6.8
"Jewel Howard Carter Hotel (Hotel), Luxor (Egypt) Deals",Jewel Howard Carter Hotel,Scored 9.1,9.4,9.1,9.4,9.3,9.3,8.1,6.8
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) Deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.3,9.4,9,9.4,8.4
"IN LUXOR Nile Apartments (Apartment), Luxor (Egypt) Deals",IN LUXOR Nile Apartments,Scored 8.8,9.4,8.4,8.7,8.8,9.2,9,9.5
"Full Moon House (Apartment), Luxor (Egypt) Deals",Full Moon House,Scored 9.2,9.4,9,9,9.2,9.5,9.4,9.7
Pyramisa Hotel Luxor (Hotel) (Egypt) Deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.2,6
"Morning Star Apartment (Apartment), Luxor (Egypt) Deals",Morning Star Apartment,Scored 8,8.7,7.5,8.4,8.2,8.8,8.2,10
"Jurf El Nil Apartments (Apartment), Luxor (Egypt) Deals",Jurf El Nil Apartments,Scored 10,10,10,10,10,10,10,No Rate
"Eyaru Palace Nile View (Hotel), Luxor (Egypt) Deals",Eyaru Palace Nile View,Scored 9.2,9.9,9.1,9.6,9.5,9.4,8.5,7.5
"Malkata House - Boutique hotel and restaurant (Apartment), Luxor (Egypt) Deals",Malkata House - Boutique hotel and restaurant,Scored 9.5,9.8,9.4,9.6,9.6,9.3,9.4,8.4
"Abeer Guest House (Guesthouse), Luxor (Egypt) Deals",Abeer Guest House,Scored 9.5,9.9,9.3,9.4,9.4,9.7,9.4,10
Pavillon Winter Luxor (Hotel) (Egypt) Deals,Pavillon Winter Luxor,Scored 9,9.3,9,9.2,9.3,8.8,9.7,8.6
MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday (Cruise) (Egypt) Deals,MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday,Scored 9.2,9.5,9.2,9.4,9.5,9.3,9.5,2.5
"Elphardous Oasis Hotel (Hotel), Luxor (Egypt) Deals",Elphardous Oasis Hotel,Scored 8.6,9.2,8.3,8.2,8.3,8.8,8.4,7.5
Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday (Cruise) (Egypt) Deals,Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday,Scored 8.6,9.5,8.4,8.8,8.9,8.6,9.3,No Rate
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Scored 8.5,9.4,8.2,8.6,8.5,8.9,9.5,7.6
"Toutankhamon (Guesthouse), Luxor (Egypt) Deals",Toutankhamon,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) Deals",Steigenberger Resort Achti,Scored 8.6,9,8.7,8.9,9,8.6,9.1,8.4
Iberotel Luxor (Hotel) (Egypt) Deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.7,8.8,8.4,9.4,7.3
The Temple Hotel & Spa Luxor (Hotel) (Egypt) Deals,The Temple Hotel & Spa Luxor,Scored 8.9,9.3,9,9.2,9.2,9.1,9,8.7
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) Deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,9,9.1,9.3,9.2,8.8,9.2,8.3
"New Winter Apartment (Apartment), Luxor (Egypt) Deals",New Winter Apartment,Scored 10,10,10,10,10,10,10,No Rate
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) Deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,9.5,9.2,9.5,9.5,9.1,9.4,8.8
"Kemet House (Guesthouse), Luxor (Egypt) Deals",Kemet House,Scored 9.9,9.9,9.8,9.8,9.9,9.9,9.9,9.4
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) Deals,Aracan Eatabe Luxor Hotel,Scored 8.6,9.2,8.6,8.8,8.9,8.6,9.6,6.8
"Jewel Howard Carter Hotel (Hotel), Luxor (Egypt) Deals",Jewel Howard Carter Hotel,Scored 9.1,9.4,9.1,9.4,9.3,9.3,8.1,6.8
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) Deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.3,9.4,9,9.4,8.4
"IN LUXOR Nile Apartments (Apartment), Luxor (Egypt) Deals",IN LUXOR Nile Apartments,Scored 8.8,9.4,8.4,8.7,8.8,9.2,9,9.5
"Full Moon House (Apartment), Luxor (Egypt) Deals",Full Moon House,Scored 9.2,9.4,9,9,9.2,9.5,9.4,9.7
Pyramisa Hotel Luxor (Hotel) (Egypt) Deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.2,6
"Morning Star Apartment (Apartment), Luxor (Egypt) Deals",Morning Star Apartment,Scored 8,8.7,7.5,8.4,8.2,8.8,8.2,10
"Jurf El Nil Apartments (Apartment), Luxor (Egypt) Deals",Jurf El Nil Apartments,Scored 10,10,10,10,10,10,10,10
"Eyaru Palace Nile View (Hotel), Luxor (Egypt) Deals",Eyaru Palace Nile View,Scored 9.2,9.9,9.1,9.6,9.5,9.4,8.5,7.5
"Malkata House - Boutique hotel and restaurant (Apartment), Luxor (Egypt) Deals",Malkata House - Boutique hotel and restaurant,Scored 9.5,9.8,9.4,9.6,9.6,9.3,9.4,8.4
"Abeer Guest House (Guesthouse), Luxor (Egypt) Deals",Abeer Guest House,Scored 9.5,9.9,9.3,9.4,9.4,9.7,9.4,10
Pavillon Winter Luxor (Hotel) (Egypt) Deals,Pavillon Winter Luxor,Scored 9,9.3,9,9.2,9.3,8.8,9.7,8.6
MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday (Cruise) (Egypt) Deals,MS Chateau Lafayette Nile Cruise - 4 nights from Luxor each Monday and 3 nights from Aswan each Friday,Scored 9.2,9.5,9.2,9.4,9.5,9.3,9.5,2.5
"Elphardous Oasis Hotel (Hotel), Luxor (Egypt) Deals",Elphardous Oasis Hotel,Scored 8.6,9.2,8.3,8.2,8.3,8.8,8.4,7.5
Luxor Luxury Nile Cruises - From Luxor 04 Nights - From Aswan 03 Nights (Cruise) (Egypt) Deals,Luxor Luxury Nile Cruises - From Luxor 04 Nights - From Aswan 03 Nights,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Luxor Luxury Nile Cruises - From Luxor 04 Nights - From Aswan 03 Nights (Cruise) (Egypt) Deals,Luxor Luxury Nile Cruises - From Luxor 04 Nights - From Aswan 03 Nights,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday (Cruise) (Egypt) Deals,Nile Treasure Cruise - 4 or 7 Nights From Luxor each Saturday and 3 or 7 Nights From Aswan each Wednesday,Scored 8.6,9.5,8.4,8.8,8.9,8.6,9.3,No Rate
The Temple Hotel & Spa Luxor (Hotel) (Egypt) Deals,The Temple Hotel & Spa Luxor,Scored 8.9,9.3,9,9.2,9.2,9.1,9,8.7
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Scored 8.5,9.4,8.2,8.6,8.5,8.9,9.5,7.6
Jolie Ville Hotel & Spa Kings Island Luxor (Resort) (Egypt) Deals,Jolie Ville Hotel & Spa Kings Island Luxor,Scored 8.9,9,9.1,9.3,9.2,8.8,9.2,8.3
"Kemet House (Guesthouse), Luxor (Egypt) Deals",Kemet House,Scored 9.9,9.9,9.8,9.8,9.9,9.9,9.9,9.4
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) Deals",Steigenberger Resort Achti,Scored 8.6,9,8.7,8.9,9,8.6,9.1,8.4
Iberotel Luxor (Hotel) (Egypt) Deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.7,8.8,8.4,9.4,7.3
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) Deals,Aracan Eatabe Luxor Hotel,Scored 8.6,9.2,8.5,8.8,8.9,8.6,9.6,6.8
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) Deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,9.5,9.2,9.5,9.5,9.1,9.4,8.8
"Abeer Guest House (Guesthouse), Luxor (Egypt) Deals",Abeer Guest House,Scored 9.5,9.9,9.3,9.4,9.4,9.7,9.4,10
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) Deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.3,9.4,9,9.4,8.4
"Eye of Horus House (Apartment), Luxor (Egypt) Deals",Eye of Horus House,Scored 7.9,8.8,7.9,7.8,7.7,8.4,8.1,No Rate
"Winter apartment (Apartment), Luxor (Egypt) Deals",Winter apartment,Scored 8.6,9.3,8.7,9.2,9,8.4,9.5,9.5
"Royal Nile Villa - Pool View Apartment 1 (Apartment), Luxor (Egypt) Deals",Royal Nile Villa - Pool View Apartment 1,Scored 9.4,9.7,9.5,9.7,9.8,9.8,8.9,No Rate
"Farida Habu Palace Hotel (Hotel), Luxor (Egypt) Deals",Farida Habu Palace Hotel,Scored 8.5,9.3,8.8,9.0,9.2,8.6,6.9,8.8
Hilton Luxor Resort & Spa (Resort) (Egypt) Deals,Hilton Luxor Resort & Spa,Scored 9.1,9.3,9.2,9.3,9.3,8.7,9.3,No Rate
"Old Winter Apartment (Apartment), Luxor (Egypt) Deals",Old Winter Apartment,Scored 9.3,9.5,9.2,9.4,9.4,9.5,9.5,10
"Jurf El Nil Apartments (Apartment), Luxor (Egypt) Deals",Jurf El Nil Apartments,Scored 10,10,10,10,10,10,10,10
"Morning Star Apartment (Apartment), Luxor (Egypt) Deals",Morning Star Apartment,Scored 8,8.7,7.5,8.4,8.2,8.8,8.2,10
"Eyaru Palace Nile View (Hotel), Luxor (Egypt) Deals",Eyaru Palace Nile View,Scored 9.2,9.9,9.1,9.6,9.5,9.4,8.5,7.5
"Rezeiky Hotel & Camp (Campground), Luxor (Egypt) Deals",Rezeiky Hotel & Camp,Scored 8.1,9.1,7.8,8.0,8.0,8.5,8.9,8.5
Lotus Luxor Hotel (Hotel) (Egypt) Deals,Lotus Luxor Hotel,Scored 8.5,8.8,8.5,8.7,8.8,8.7,9.2,8.8
Grand Square Hostel Luxor (Hostel) (Egypt) Deals,Grand Square Hostel Luxor,Scored 8.5,9.5,8.0,8.0,8.1,9.0,9.3,7.5
"Omar apartment (Apartment), Luxor (Egypt) Deals",Omar apartment,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Studio House Luxor (Apartment) (Egypt) Deals,Studio House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Jomaika family hotel (Hotel), Luxor (Egypt) Deals",Jomaika family hotel,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Steigenberger Resort Achti (Hotel), Luxor (Egypt) Deals",Steigenberger Resort Achti,Scored 8.6,9.0,8.7,8.9,9.0,8.6,9.1,8.4
MRHostel Luxor (Hostel) (Egypt) Deals,MRHostel Luxor,Scored 9.5,9.9,9.3,9.5,9.6,9.8,9.8,8.5
Nefertiti Hotel Luxor (Hotel) (Egypt) Deals,Nefertiti Hotel Luxor,Scored 8.5,9.4,8.2,8.6,8.5,8.9,9.5,7.6
"Rezeiky Hotel & Camp (Campground), Luxor (Egypt) Deals",Rezeiky Hotel & Camp,Scored 8.1,9.1,7.8,8.0,8.0,8.5,8.9,8.5
Tokyo House Luxor (Apartment) (Egypt) Deals,Tokyo House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"New Winter Apartment (Apartment), Luxor (Egypt) Deals",New Winter Apartment,Scored 10,10,10,10,10,10,10,No Rate
Iberotel Luxor (Hotel) (Egypt) Deals,Iberotel Luxor,Scored 8.5,8.9,8.5,8.7,8.8,8.4,9.4,7.3
Steigenberger Nile Palace Luxor - Convention Center (Hotel) (Egypt) Deals,Steigenberger Nile Palace Luxor - Convention Center,Scored 9.1,9.4,9.2,9.3,9.4,9.0,9.4,8.4
Grand Square Hostel Luxor (Hostel) (Egypt) Deals,Grand Square Hostel Luxor,Scored 8.5,9.5,8.0,8.0,8.1,9.0,9.3,7.5
"أهلا بكم (Apartment), Luxor (Egypt) Deals",أهلا بكم,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Lotus Luxor Hotel (Hotel) (Egypt) Deals,Lotus Luxor Hotel,Scored 8.5,8.8,8.5,8.7,8.8,8.7,9.2,8.8
"Sonesta St. George Hotel - Convention Center (Hotel), Luxor (Egypt) Deals",Sonesta St. George Hotel - Convention Center,Scored 9.2,9.5,9.2,9.5,9.5,9.1,9.4,8.8
Aracan Eatabe Luxor Hotel (Hotel) (Egypt) Deals,Aracan Eatabe Luxor Hotel,Scored 8.6,9.2,8.5,8.8,8.9,8.6,9.6,6.8
"Old Winter Apartment (Apartment), Luxor (Egypt) Deals",Old Winter Apartment,Scored 9.3,9.5,9.2,9.4,9.4,9.5,9.5,10
Pyramisa Hotel Luxor (Hotel) (Egypt) Deals,Pyramisa Hotel Luxor,Scored 8.3,8.9,8.2,8.5,8.5,8.3,9.2,6.0
Studio House Luxor (Apartment) (Egypt) Deals,Studio House Luxor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Happy Land Luxor (Hostel) (Egypt) Deals,Happy Land Luxor,Scored 8.2,9.1,7.8,8.0,7.9,8.8,8.6,6.4
"Abeer Guest House (Guesthouse), Luxor (Egypt) Deals",Abeer Guest House,Scored 9.5,9.9,9.3,9.4,9.4,9.7,9.4,10
"Oasis hotel (Hotel), Luxor (Egypt) Deals",Oasis hotel,Scored 8.1,9.3,7.4,7.6,7.7,8.8,9.3,7.6
"Jurf El Nil Apartments (Apartment), Luxor (Egypt) Deals",Jurf El Nil Apartments,Scored 10,10,10,10,10,10,10,10
"Winter apartment (Apartment), Luxor (Egypt) Deals",Winter apartment,Scored 8.6,9.3,8.7,9.2,9.0,8.4,9.5,9.5
"Toutankhamon (Guesthouse), Luxor (Egypt) Deals",Toutankhamon,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Pavillon Winter Luxor (Hotel) (Egypt) Deals,Pavillon Winter Luxor,Scored 9,9.3,9.0,9.2,9.3,8.8,9.7,8.6
"SWEET HOSTEL LUXOR (Hostel), Luxor (Egypt) Deals",SWEET HOSTEL LUXOR,Scored 8,9.0,7.6,7.7,7.8,8.6,9.1,7.9
Pyramids Luxor Hotel & SPA (Hotel) (Egypt) Deals,Pyramids Luxor Hotel & SPA,Scored 8.1,9.0,8.0,8.2,8.1,8.7,8.7,5.4
"Shellghada Blue Beach (Hotel), Hurghada (Egypt) Deals",Shellghada Blue Beach,Scored 8.1,8.5,8.0,8.4,8.4,8.6,8.6,No Rate
"One Bedroom Apartments With Pool View -Al Saraya Sahl Hasheesh by Peaks (Apartment), Hurghada (Egypt) Deals",One Bedroom Apartments With Pool View -Al Saraya Sahl Hasheesh by Peaks,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Shedwan 2 Bdr Ground Floor (Apartment), Hurghada (Egypt) Deals",Shedwan 2 Bdr Ground Floor,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Newly Furnished Apt: Mangroovy (Apartment), Hurghada (Egypt) Deals",Newly Furnished Apt: Mangroovy,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Sunny Days El Palacio Resort & Spa (Resort), Hurghada (Egypt) Deals",Sunny Days El Palacio Resort & Spa,Scored 8.4,8.9,8.4,8.5,8.6,8.5,9.2,5.8
"Lavesta (Condo Hotel), Hurghada (Egypt) Deals",Lavesta,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Aldau heights hurgada tourism center (Apartment), Hurghada (Egypt) Deals",Aldau heights hurgada tourism center,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"A dream with a sea view in Azzurra (Apartment), Hurghada (Egypt) Deals",A dream with a sea view in Azzurra,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Zen Resort Sahl Hasheesh by TBH Hotels (Resort), Hurghada (Egypt) Deals",Zen Resort Sahl Hasheesh by TBH Hotels,Scored 8.1,8.8,8.3,8.5,8.6,8.5,7.8,7.2
"New Eagles Aqua Park Resort (Resort), Hurghada (Egypt) Deals",New Eagles Aqua Park Resort,Scored 8.8,9.5,8.7,8.9,9.0,9.1,9.0,7.7
Carrefour Hurghada city centre (Apartment) (Egypt) Deals,Carrefour Hurghada city centre,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"Cordoba Suites (Condo Hotel), Hurghada (Egypt) Deals",Cordoba Suites,Scored 8.4,9.2,8.2,8.5,8.5,8.8,8.7,7.7
Scandic Resort Hurghada (Condo Hotel) (Egypt) Deals,Scandic Resort Hurghada,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
Scandic Resort Hurghada (Condo Hotel) (Egypt) Deals,Scandic Resort Hurghada,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"القيادات (Apartment), Hurghada (Egypt) Deals",القيادات,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate,No Rate
"The Grand Resort (Resort), Hurghada (Egypt) Deals",The Grand Resort,Scored 8.8,9.1,8.7,8.9,8.9,8.9,9.3,No Rate
Hurghada (Apartment) (Egypt) Deals,Hurghada,Scored 1,2.5,2.5,2.5,2.5,2.5,2.5,No Rate
"TK Suites (Condo Hotel), Hurghada (Egypt) Deals",TK Suites,Scored 8.6,9.1,8.6,9.0,8.9,9.0,8.1,8.7
Andalusia Blue Beach Hurghada (Condo Hotel) (Egypt) Deals,Andalusia Blue Beach Hurghada,Scored 7.5,8.4,7.2,7.5,7.5,8.0,8.8,5.6
Golden Sun Hotel - Hurghada (Hotel) (Egypt) Deals,Golden Sun Hotel - Hurghada,Scored 8.7,9.4,8.5,8.7,8.6,9.1,9.2,6.7
"Kite Lodging (Condo Hotel), Hurghada (Egypt) Deals",Kite Lodging,Scored 7.8,8.4,8.1,8.0,8.2,8.6,7.7,8.8
"Jaz Casa Del Mar Beach (Resort), Hurghada (Egypt) Deals",Jaz Casa Del Mar Beach,Scored 9.2,9.5,9.4,9.5,9.5,9.0,9.4,7.1
"قرية ميراج باي (Apartment), Hurghada (Egypt) Deals",قرية ميراج باي,Scored 7.6,8.2,7.8,7.9,8.3,8.6,8.3,No Rate
"Giftun Azur Resort (Resort), Hurghada (Egypt) Deals",Giftun Azur Resort,Scored 8.4,8.9,8.2,8.4,8.5,8.7,9.2,7.4
"Siva Grand Beach (Resort), Hurghada (Egypt) Deals",Siva Grand Beach,Scored 9.3,9.6,9.0,9.2,9.2,9.4,9.7,6.3
"Bellagio Beach Resort & Spa (Resort), Hurghada (Egypt) Deals",Bellagio Beach Resort & Spa,Scored 9.2,9.6,9.3,9.3,9.4,9.3,9.1,7.0
"Shellghada Blue Beach (Hotel), Hurghada (Egypt) Deals",Shellghada Blue Beach,Scored 8.1,8.5,8.0,8.4,8.4,8.6,8.6,No Rate
"Zen Resort Sahl Hasheesh by TBH Hotels (Resort), Hurghada (Egypt) Deals",Zen Resort Sahl Hasheesh by TBH Hotels,Scored 8.1,8.8,8.2,8.5,8.6,8.5,7.8,7.2
"Steigenberger Golf Resort El Gouna (Resort), Hurghada (Egypt) Deals",Steigenberger Golf Resort El Gouna,Scored 8.7,8.9,9.1,9.3,9.4,8.5,9.0,8.3
"Ancient Sands Golf Resort and Residences (Resort), Hurghada (Egypt) Deals",Ancient Sands Golf Resort and Residences,Scored 8.2,8.9,8.5,8.6,8.7,8.2,8.3,6.5
"Casa Cook El Gouna - Adults Only (Resort), Hurghada (Egypt) Deals",Casa Cook El Gouna - Adults Only,Scored 9.1,9.5,9.2,9.4,9.3,8.6,9.1,9.6
Pickalbatros White Beach Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros White Beach Resort - Hurghada,Scored 9.5,9.7,9.6,9.7,9.7,9.3,9.7,9.0
Pickalbatros Aqua Park Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Park Resort - Hurghada,Scored 9,9.3,9.1,9.2,9.3,8.8,9.0,8.8
"Tropitel Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Tropitel Sahl Hasheesh,Scored 8.6,9.0,8.9,9.1,9.1,8.4,8.6,7.8
"Pickalbatros Citadel Resort Sahl Hasheesh (Resort), Hurghada (Egypt) Deals",Pickalbatros Citadel Resort Sahl Hasheesh,Scored 9.2,9.3,9.3,9.4,9.4,9.1,9.3,8.7
"TK Suites (Condo Hotel), Hurghada (Egypt) Deals",TK Suites,Scored 8.6,9.1,8.6,9.0,8.9,9.0,8.1,8.7
"Serenity Alpha Beach - Ex Serenity Makadi Beach (Resort), Hurghada (Egypt) Deals",Serenity Alpha Beach - Ex Serenity Makadi Beach,Scored 9.2,9.5,9.3,9.5,9.5,9.3,9.0,7.5
"Pickalbatros Dana Beach Resort - Aqua Park (Resort), Hurghada (Egypt) Deals",Pickalbatros Dana Beach Resort - Aqua Park,Scored 9.3,9.4,9.4,9.5,9.4,8.9,9.4,8.4
Pickalbatros Aqua Blu Resort - Hurghada (Resort) (Egypt) Deals,Pickalbatros Aqua Blu Resort - Hurghada,Scored 9.1,9.3,9.3,9.4,9.4,9.0,9.1,8.9
"Palm Royale Resort - Soma Bay (Resort), Hurghada (Egypt) Deals",Palm Royale Resort - Soma Bay,Scored 8.7,9.2,8.7,8.9,8.8,8.7,9.1,8.8
